init
1 1 [4990.25, 5041.0, 4998.25, 5047.5]
0 0 [4053.0, 3938.5, 4052.5, 3938.5]
0 1 [3057.75, 3239.25, 3047.75, 3232.5]
1 0 [3305.75, 3443.0, 3309.25, 3445.5]
1 1 [4990.5, 5041.25, 4998.25, 5047.75]
0 0 [4054.25, 3940.25, 4054.0, 3940.25]
0 1 [3060.0, 3241.0, 3050.0, 3234.5]
1 0 [3304.75, 3442.0, 3308.25, 3444.5]
1 1 [4989.75, 5040.5, 4997.5, 5047.0]
0 0 [4052.0, 3937.75, 4051.5, 3937.75]
0 1 [3057.5, 3238.5, 3047.5, 3232.0]
1 0 [3305.25, 3442.5, 3308.75, 3445.0]
1 1 [4991.0, 5041.75, 4998.75, 5048.25]
0 0 [4054.75, 3940.5, 4054.25, 3940.5]
0 1 [3059.5, 3240.25, 3049.5, 3234.0]
1 0 [3306.5, 3443.75, 3310.25, 3446.25]
1 1 [4991.5, 5042.25, 4999.25, 5048.5]
0 0 [4054.25, 3940.0, 4053.75, 3940.0]
0 1 [3058.5, 3239.75, 3048.5, 3233.25]
1 0 [3304.5, 3441.5, 3308.0, 3444.25]
1 1 [4992.25, 5043.0, 5000.0, 5049.25]
0 0 [4054.75, 3940.75, 4054.25, 3940.5]
0 1 [3059.0, 3240.0, 3049.0, 3233.5]
1 0 [3307.0, 3444.25, 3310.5, 3446.75]
1 1 [4990.0, 5041.0, 4998.0, 5047.25]
0 0 [4052.5, 3938.5, 4052.0, 3938.25]
0 1 [3058.5, 3239.75, 3048.5, 3233.25]
1 0 [3305.75, 3443.0, 3309.25, 3445.5]
1 1 [4992.5, 5043.5, 5000.5, 5050.0]
0 0 [4055.5, 3941.25, 4055.0, 3941.0]
0 1 [3059.75, 3241.0, 3049.75, 3234.5]
1 0 [3307.0, 3444.25, 3310.5, 3446.75]
1 1 [4991.25, 5042.0, 4999.0, 5048.5]
0 0 [4054.75, 3940.75, 4054.5, 3940.75]
0 1 [3058.0, 3239.0, 3048.0, 3232.5]
1 0 [3305.0, 3442.0, 3308.5, 3444.75]
1 1 [4989.75, 5040.5, 4997.5, 5047.0]
0 0 [4053.5, 3939.0, 4053.0, 3939.0]
0 1 [3058.0, 3239.0, 3048.0, 3232.5]
1 0 [3306.0, 3443.25, 3309.5, 3445.75]
1 1 [4992.0, 5043.0, 5000.0, 5049.5]
0 0 [4055.25, 3941.25, 4054.75, 3941.0]
0 1 [3060.25, 3241.25, 3050.0, 3234.75]
1 0 [3305.5, 3442.5, 3308.75, 3445.25]
1 1 [4991.0, 5042.0, 4999.0, 5048.5]
0 0 [4054.75, 3940.75, 4054.5, 3940.75]
0 1 [3059.25, 3240.25, 3049.25, 3233.75]
1 0 [3305.25, 3442.5, 3308.5, 3445.0]
1 1 [4991.5, 5042.5, 4999.5, 5049.0]
0 0 [4054.25, 3940.25, 4053.75, 3940.0]
0 1 [3059.5, 3240.5, 3049.5, 3234.0]
1 0 [3306.5, 3443.5, 3310.0, 3446.25]
1 1 [4989.25, 5040.0, 4997.0, 5046.25]
0 0 [4052.5, 3938.0, 4051.75, 3938.0]
0 1 [3057.0, 3238.0, 3047.0, 3231.5]
1 0 [3304.5, 3441.75, 3308.0, 3444.25]
1 1 [4990.75, 5041.5, 4998.75, 5048.0]
0 0 [4054.75, 3940.75, 4054.25, 3940.5]
0 1 [3059.25, 3240.25, 3049.25, 3233.75]
1 0 [3306.5, 3443.75, 3310.0, 3446.25]
1 1 [4989.0, 5040.0, 4997.0, 5046.25]
0 0 [4052.5, 3938.5, 4052.0, 3938.25]
0 1 [3058.0, 3239.0, 3048.0, 3232.5]
1 0 [3304.25, 3441.5, 3307.75, 3444.0]
1 1 [4990.75, 5041.75, 4998.75, 5048.0]
0 0 [4055.0, 3940.5, 4054.5, 3940.5]
0 1 [3058.75, 3240.0, 3048.5, 3233.25]
1 0 [3307.25, 3444.5, 3310.75, 3447.0]
1 1 [4992.5, 5043.25, 5000.5, 5049.75]
0 0 [4055.25, 3941.0, 4055.0, 3941.0]
0 1 [3058.75, 3239.5, 3048.75, 3233.0]
1 0 [3305.5, 3442.5, 3308.75, 3445.25]
1 1 [4989.25, 5040.25, 4997.25, 5046.5]
0 0 [4053.0, 3939.0, 4052.75, 3938.75]
0 1 [3057.75, 3239.0, 3047.75, 3232.5]
1 0 [3305.5, 3442.75, 3309.0, 3445.25]
1 1 [4989.5, 5040.25, 4997.25, 5046.75]
0 0 [4054.25, 3940.25, 4053.75, 3940.0]
0 1 [3059.25, 3240.5, 3049.25, 3233.75]
1 0 [3305.25, 3442.5, 3308.75, 3445.0]
1 1 [4988.5, 5039.25, 4996.25, 5045.75]
0 0 [4051.25, 3937.25, 4050.75, 3937.25]
0 1 [3058.75, 3239.75, 3048.75, 3233.25]
1 0 [3306.25, 3443.5, 3309.75, 3446.0]
1 1 [4990.5, 5041.5, 4998.5, 5047.75]
0 0 [4054.0, 3939.75, 4053.5, 3939.75]
0 1 [3058.75, 3239.75, 3048.75, 3233.25]
1 0 [3305.25, 3442.0, 3308.5, 3444.75]
1 1 [4987.75, 5038.5, 4995.5, 5045.0]
0 0 [4052.75, 3938.5, 4052.5, 3938.5]
0 1 [3059.0, 3240.25, 3049.0, 3233.75]
1 0 [3305.75, 3442.75, 3309.0, 3445.25]
1 1 [4991.75, 5042.75, 4999.75, 5049.25]
